title,originallink,link,description,pubDate
&quot;양곡법이 식량위기 심화 가능성...농안법은 농산물 가격불안정법&quot;,https://www.hankyung.com/article/202405135656i,https://n.news.naver.com/mnews/article/015/0004985792?sid=102,"장 위원장은 과거 재정경제부(현 기획재<b>정부</b>)시절, 농어촌 예산을 짜면서 농업과 연을 맺었다. 이후 40년 이상 농업 한 분야에 관심의 끈을 이어온 농업정책 전문가다. 이명박<b>정부</b> 시절(2008~2010년) 농림수산식품부... ","Fri, 17 May 2024 12:33:00 +0900"
"한전KDN, 품질경영공청회 개최… 품질경영 성과 전사 공유",http://www.energydaily.co.kr/news/articleView.html?idxno=146448,http://www.energydaily.co.kr/news/articleView.html?idxno=146448,"특히 국내 유일 에너지ICT 공기업의 업(業)의 특성을 반영한 '한전KDN形 ESG 경영'과 디지털<b>정부</b> 혁신에 부응한 품질혁신경영을 위해 품질경영활동 종합평가, 고객만족도 향상, 찾아가는 품질교육 등 꾸준한 PDCA(Plan... ","Fri, 17 May 2024 12:32:00 +0900"
"보훈부, '제44주년 5·18민주화운동 기념식'…18일 거행",http://www.sisafocus.co.kr/news/articleView.html?idxno=317784,http://www.sisafocus.co.kr/news/articleView.html?idxno=317784,"'오월, 희망이 꽃피다'라는 주제로 열리는 기념식은 5·18민주유공자 및 유족, <b>정부</b> 주요 인사, 학생 등 2500여 명이 참석한 가운데 국민의례, 여는 공연, 경과보고, 기념공연1, 기념사, 기념공연2, '임을 위한 행진곡' 제창... ","Fri, 17 May 2024 12:32:00 +0900"
"광명시, 생애주기별 맞춤형 복지서비스 전자책 개정 발간",http://www.shinailbo.co.kr/news/articleView.html?idxno=1874978,http://www.shinailbo.co.kr/news/articleView.html?idxno=1874978,그동안 <b>정부</b>와 지자체에서 다양한 복지서비스를 제공하고 있지만 그 종류가 많고 신청 방법 등이 제각기 달라 시민이 알고 이용하는 데 어려움이 컸다. 이에 시는 시민의 정보접근성을 높이고자 2019년부터 매년 시... ,"Fri, 17 May 2024 12:32:00 +0900"
[생생경제] 30년 숙원 '노동법원' 尹이 설치할까? &quot;노동계와 사전 논의 없었지...,https://radio.ytn.co.kr/program/?f=2&id=95789&s_mcd=0206&s_hcd=15,https://radio.ytn.co.kr/program/?f=2&id=95789&s_mcd=0206&s_hcd=15,그런데 노동법원을 설치한다 할 때 같은 경우에는 적어도 심판 기능은 지금처럼 행<b>정부</b> 산하의 노동위원회가... ◇ 김유선 : 그동안 몇 차례 얘기는 있었는데 대체 <b>정부</b> 교체 시기와 맞물려서 흐지부지되고 해왔던 걸로... ,"Fri, 17 May 2024 12:32:00 +0900"
"경기도, 민선8기'시즌2' 맞아 수석 보좌진 등 신규 임명",http://www.econonews.co.kr/news/articleView.html?idxno=338644,http://www.econonews.co.kr/news/articleView.html?idxno=338644,"경기도에 따르면 신봉훈 신임 정책수석은 국회-<b>정부</b>-지자체 등에서 폭넓은 경험을 쌓은 정책전문가다. 국회 보좌관, 참여<b>정부</b> 대통령비서실 행정관, 인천광역시 소통협력관 등을 역임했다. 민선8기 시즌2의 정책확장과... ","Fri, 17 May 2024 12:32:00 +0900"
더타임스 “가자지구 주민 1/3만 하마스 통치 지지”,https://news.kbs.co.kr/news/pc/view/view.do?ncd=7965786&ref=A,https://n.news.naver.com/mnews/article/056/0011723056?sid=104,"이 관계자는 다만 하마스의 지지율이 떨어지기는 했지만 팔레스타인 자치<b>정부</b> 등 다른 정치세력에 대한... 하마스는 2006년 선거에서 팔레스타인 자치<b>정부</b>의 집권당 격인 파타를 누르고 승리했고, 이후 가자지구에서... ","Fri, 17 May 2024 12:30:00 +0900"
"구리·코발트 쟁탈전에…&quot;美, 이스라엘 부패재벌 제재 완화&quot;",https://www.yna.co.kr/view/AKR20240517073000009?input=1195m,https://n.news.naver.com/mnews/article/001/0014692534?sid=104,전기차 등 G2 경쟁 불붙자 '달러망 우회접근' 제의 부정축재 면죄부?…美<b>정부</b> 내에도 '부당하다' 논란 미국 <b>정부</b>가 콩고민주공화국(민주콩고)에서 전기차에 쓰이는 핵심 광물을 얻으려고 이스라엘의 억만장자 광산 사업가... ,"Fri, 17 May 2024 12:30:00 +0900"
尹 “국가유산 널리 알려 ‘글로벌 문화 중추국가’ 될 것”,http://www.edaily.co.kr/news/newspath.asp?newsid=02177926638889904,https://n.news.naver.com/mnews/article/018/0005741791?sid=100,윤석열 대통령은 17일 오전 <b>정부</b>대전청사에서 열린 국가유산청 출범식에 참석해 “그동안 문화재 관리는... 윤석열 대통령이 17일 대전 서구 <b>정부</b>대전청사에서 열린 국가유산청 출범식에서 출범 퍼포먼스를 하고 있다.... ,"Fri, 17 May 2024 12:30:00 +0900"
"의료계 대리인 이병철 변호사, “대법원 판단 받겠다”",https://www.chosun.com/national/court_law/2024/05/17/GLM4UOSXM5AJNJCR3FFVMMVYDI/?utm_source=naver&utm_medium=referral&utm_campaign=naver-news,https://n.news.naver.com/mnews/article/023/0003834761?sid=102,앞서 서울고법 행정7부(재판장 구회근)는 전날(16일) 의대생·전공의·교수 등이 “<b>정부</b>의 의대 증원을 막아달라”며 법원에 낸 집행정지 사건 항고심(2심)에서 의료계 신청을 기각·각하했다. 이 변호사는 이날 “오늘 오전... ,"Fri, 17 May 2024 12:30:00 +0900"
"셀트리온 램시마SC, 브라질서 시장 확장 탄력",http://www.seoulwire.com/news/articleView.html?idxno=609611,http://www.seoulwire.com/news/articleView.html?idxno=609611,셀트리온은 최근 브라질 보건부 산하 기술위원회(CONITEC)에서 연방<b>정부</b> 공공의료 시스템에 인플릭시맙... 이번 결정은 브라질 <b>정부</b>에서 보건 의료의 질 향상 및 환자의 치료 접근성 강화를 위해 인플릭시맙 SC제형... ,"Fri, 17 May 2024 12:30:00 +0900"
의협·의대 교수들 “의대 증원은 공공복리 위협...법원 결정은 끝이 아닌 시...,https://www.chosun.com/national/welfare-medical/2024/05/17/5OUQLFLZCFGWHLS2DEVK6DN6MU/?utm_source=naver&utm_medium=referral&utm_campaign=naver-news,https://n.news.naver.com/mnews/article/023/0003834760?sid=102,대해 “<b>정부</b>의 의대정원 증원은 공공복리를 위한 것이 아니라 향후 공공복리를 심각하게 위협하는 상황을... 부합한다는 <b>정부</b>의 주장을 판결에 인용했다”며 “그러나 이 결정은 오히려 필수의료에 종사하게 될 학생과... ,"Fri, 17 May 2024 12:30:00 +0900"
"한전KDN, 품질경영공청회 개최…품질경영 성과 공유",https://www.etoday.co.kr/news/view/2360864,https://www.etoday.co.kr/news/view/2360864,"특히, 국내 유일 에너지 정보통신기술(ICT) 공기업의 특성을 반영한 '한전KDN 형(形) 환경·사회·지배구조(ESG) 경영'과 디지털<b>정부</b> 혁신에 부응한 품질혁신경영을 위해 품질경영활동 종합평가, 고객만족도 향상... ","Fri, 17 May 2024 12:30:00 +0900"
대법 &quot;회원정보 유출 피해는 당사자 입증해야 배상&quot;,http://news.tf.co.kr/read/life/2099181.htm,https://n.news.naver.com/mnews/article/629/0000288729?sid=102,"건네줬다가 <b>정부</b>합동수사단의 수사에 적발됐다. 이에 일부 회원들은 홈플러스를 상대로 1인당 50만~70만원의 손배해상 청구 소송을 제기했다. 1,2심은 모두 원고 일부 승소로 판결했다. 재판부는 자신들의 개인정보가... ","Fri, 17 May 2024 12:29:00 +0900"
김병환 기재차관 &quot;김 매점매석 엄정대응…비축 수산물 공급 확대&quot;,https://www.asiatoday.co.kr/view.php?key=20240517010008455,https://www.asiatoday.co.kr/view.php?key=20240517010008455,일자리 전담반 TF 및 물가관계차관회의 기업수요 맞춤형 직업훈련 강화 <b>정부</b>가 최근 가격 상승세인 김과 관련한 매점매석 등을 점검해 유통 교란 행위가 발견되면 엄정 대응한다는 방침이다. 또 <b>정부</b>는 오는 18일부터... ,"Fri, 17 May 2024 12:28:00 +0900"
