언론사,기자,제목,기사본문,기사링크
뉴시스,이재우 기자(ironn108@newsis.com),"조정훈 ""총선백서, 특위 의견 수렴 중…이번 주중 결론""","총선백서 발간 시기 질문에 전대 전, 이후 신중하게 검토한동훈·용산 면담 질문에 면담 요청해놓고 일정 잡았다[서울뉴시스] 조성봉 기자 조정훈 총선백서 특위 위원장이 14일 오전 서울 여의도 국민의힘 중앙당사에서 열린 총선백서 특별위원회 전체회의에서 발언하고 있다. 2024.05.14. [서울뉴시스] 이재우 기자  조정훈 국민의힘 총선백서특별위원회(특위) 위원장은 27일 총선 백서와 관련해 이번 주중으로 결론을 내지 않을까 싶다고 밝혔다.조 의원은 이날 오후 라디오 '박재홍의 한판승부'에 출연해 '총선 백서 마무리 시기는 아직도 고민 중이냐'는 질문을 받고 아직 특위 내에서 의견을 듣고 있다. 비대위원장을 비롯해서 당의 주요 인사들, 지도부의 의견들을 경청하고 조만간 이번 주 중에 결론을 내지 않을까 싶다고 했다.그는 '총선 백서 발간 시기'에 대해서는 특히 전당대회 전에 할지 이후에 할지 대한 여러 가지 장단점이 있어서 신중하게 검토하고 있다고 했다.조 의원은 '면담은 예정대로 진행되느냐'는 질문에는 면담 요청해 놓고 일정들을 잡았다. 29일 장동혁 전 사무총장과 면담 일정이 예정돼 있다. 공개, 비공개 미팅들이 계속 이어지고 있다고 설명했다.친한계로 꼽히는 장 의원은 27일 특위가 한 전 위원장 면담을 추진하는 것에 대해 개인적으로 부적절하다고 생각한다며 총선백서를 집필하면서 총선 끝나자마자 총선 결과에 대한 정치적 책임을 지고 물러난 당대표를 면담하고 집필한 적 있는지 모르겠다고 지적했다.그러면서 총선백서팀이 특검은 아니지 않느냐. 어떤 과정을 거쳐서 공천하고 선거전략을 세웠는지에 대해서 사무총장인 제게 확인하면 충분하지 않을까 싶다며 그럼에도 면담하겠다는 건 특위에서 다른 생각을 가질 수 있다고 생각한다고 했다.",https://n.news.naver.com/mnews/article/003/0012570524?sid=100
세계일보,남정탁 기자,손 맞잡은 3國 정상,"윤석열 대통령이 27일 청와대 영빈관에서 열린 제9차 한·중·일 정상회의에 앞서 기시다 후미오 일본 총리(왼쪽), 리창 중국 국무원 총리(오른쪽)와 손을 맞잡은 채 기념사진을 찍고 있다.",https://n.news.naver.com/mnews/article/022/0003936609?sid=100
이데일리,김정유(thec98@edaily.co.kr),"美, 北 위성 발사 예고에 “안보리 결의 위반”","[이데일리 김정유 기자] 미국이 북한의 위성 발사 예고에 대해 유엔 안전보장이사회 대북 결의 위반이라고 지적하며 자제를 촉구했다.북한이 지난 해 5월 31일 평안북도 철산군 동창리 서해위성발사장에서 쏜 첫 군사정찰위성 ‘만리경 1호’를 실은 위성운반로켓 ‘천리마 1형’의 발사 장면을 조선중앙통신이 공개한 사진이다. 이 로켓은 엔진 고장으로 서해에 추락했다. 북한 국가우주개발국은 발사 후 2시간 30여분 만에 실패를 공식 인정했다. (사진연합뉴스)27일 연합뉴스 보도에 따르면 미국 국무부 대변인은 이날 “탄도미사일 기술을 사용하는 북한의 어떤 발사도 다수의 유엔 안보리 결의를 위반하는 것”이라며 “여기에는 위성을 우주로 발사하는 데 사용되는 우주발사체(slv)도 포함된다”고 했다.이어 “우주발사체는 대륙간탄도미사일(ic)을 비롯한 탄도미사일에 사용되는 것과 같거나 호환할 수 있는 기술을 포함한다”며 “우리는 북한이 추가적인 불법 활동을 자제하고 북한 정권이 진지하고 지속적인 외교에 나설 것을 촉구한다”고 덧붙였다.북한은 27일부터 다음 달 4일까지 위성을 실은 로켓을 발사, 해상 위험구역 3곳을 설정하겠다는 계획을 일본 측에 통보한 바 있다.위성의 우주 발사에 사용되는 로켓은 ic과 기술적으로 동일하다. 안보리는 용도와 무관하게 북한의 탄도미사일 기술을 활용한 모든 발사를 금하고 있다. 미국 국무부는 지난해 8월 북한이 위성 발사 계획을 통보할 때도 같은 입장을 밝힌 바 있다.",https://n.news.naver.com/mnews/article/018/0005749935?sid=100
조선비즈,김유진 기자 bridge@chosunbiz.com,정의당 신임 대표에 권영국 변호사…부대표에는 엄정애·문정은,"지난 2월 14일 쿠팡대책위 공동위원장인 권영국 변호사가 14일 오전 서울 서초구 민주사회를 위한 변호사모임(민변) 대회의실에서 열린 쿠팡 블랙리스트 의혹 법적 대응 기자회견에서 쿠팡 측에서 취업 배제 등의 목적으로 운영한 것으로 추정되는 명단을 공개하고 있다.뉴스1권영국 변호사가 22대 국회에서 원외 정당이 된 정의당의 차기 대표에 올랐다.정의당은 지난 26일부터 이틀간 당원을 대상으로 모바일과 자동응답시스템(a)으로 투표를 진행한 결과 권 변호사가 4107표(93.2%)의 표를 얻어 신임 대표직을 맡게 됐다고 27일 밝혔다.투표에는 총 선거권자 1만5042명 중 4408명(29.3%)이 참여했다.권 신임 대표는 풍산금속 해고 노동자 출신으로 해직 10년 만인 1999년 사법시험에 합격하면서 변호사가 됐다. 이후 그는 쌍용차 정리해고 법률대리인단, ‘구의역 김군 사고’ 진상조사단 단장 등 노동 관련 현장에서 활동하며 ‘거리의 변호사’라고 불리기 시작했다.부대표 선거에 입후보한 엄정애 경북도당 위원장과 문정은 광주시당 위원장도 각각 90.2%, 88.4%를 득표해 부대표로 선출됐다.",https://n.news.naver.com/mnews/article/366/0000994997?sid=100
TV조선,"김정우 기자, 조성호 기자","[단독] 장호진 안보실장, 文 회고록 반박…""中 눈치보기·굴종 외교와 우리는 다르다""","tv조선 '뉴스9'에 출연한 장호진 국가안보실장장호진 국가안보실장은 27일 문재인 전 대통령이 최근 출간한 회고록에서 윤석열 정부의 외교 정책을 비판한 것에 대해 지난 정권말 중국에 대해 '눈치보기'·'굴종' 외교란 말이 나왔던 것과 저희(윤석열 정부)는 다르다며 정면 반박했다.문 전 대통령이 '외교안보' 회고록을 출간한 뒤 현 정부 고위당국자가 이를 직접 반박한 것은 이번이 처음이다.장 실장은 이날 tv조선 '뉴스9'에 출연해 관련 질문을 받고 전임 대통령에 대해 언급하는 것은 별로 적절치 않지만, 본인이 먼저 말씀하셨고 마침 질문이 있으니까 몇 가지 말씀드리겠다며 회고록은 나오자마자 국내외적으로 여러 논란이 있었고, 미국의 전직 고위 관리들도 '사실과 다르다'는 얘기를 많이 했다고 답했다.앞서 마이크 폼페이오 전 미 국무장관은 tv조선과의 인터뷰에서 문 전 대통령이 하노이 회담 무산 과정에서 트럼프 대통령은 결단했지만 폼페이오 등 참모들이 대화의 발목을 잡는 역할을 했다는 취지로 비판한 것에 대해 사실이 아니다라며 자신과 트럼프 전 대통령 사이엔 이견이 없었고, 협정을 체결하는 것도 트럼프의 선택이었다고 반박한 바 있다.장 실장은 오늘 마침 한일중 정상회의 얘기를 하러 나왔으니 이야기를 하겠다면서 2017년말 문 전 대통령이 방중했을 때 '사드 문제가 마치 다 해결됐고, 한한령이 해제될 것'처럼 얘기했다고 했다.그러면서 그 이후엔 우리가 당연히 중국 측에 경제 제재를 해제해달라고 요구해야 한다면서 그러나 그 반대로 중국이 계기 때마다 우리에게 사드 문제 처리하라 하고 우리는 아무 말도 못하는 그런 이해할 수 없는 일이 반복됐다고 했다.이어 그런 일들 때문에 지난 정권말 중국에 대해 '눈치보기 외교'나 '굴종외교' 말들이 나왔던 것이라며 저희는 그런 얘기를 하지 않는다고 했다.장 실장은 오늘 (정상회의를) 보셨다시피 지난 2년 동안 한중관계를 둘러싼 변수가 과거와는 다르다며 미국과 중국 간의 전략 경쟁도 있고, 그에 따른 공급망 재편도 있고, 지난 정부의 대중 외교에 대한 어떠한 반성 차원에서 국민들의 요구에 따라서 저희가 상호 존중의 한중 관계를 만들겠다는 정책을 추진해 왔다고 했다.또 세 가지 변화 요인 속에서도 4년 5개월 만에 한일중 정상회의도 재개했고, 여러 실질적 성과들도 많이 고양했다고 했다.장 실장은 북한이 최근 휴전선 전역에 지뢰를 매설하고 철책을 보강하는 작업을 하는 것에 대해 기존과는 다르다고 설명했다.장 실장은 군사적인 대비나 도발 측면에서 이해할 수 있는데, 이번 것은 김정은 위원장이 대남 관계를 절연하겠다고 하고 후속 조치의 일환으로 진행되는 측면이 있다고 했다.이어 북한의 도발 위협에 대해선 유형별 대비태세를 만들어 숙지하고, 중앙통합방위회의 등 여러 사전회의를 계속 업데이트하며 대비를 강화해 (국민들은) 너무 걱정하지 않아도 된다고 했다.장 실장은 이날 tv조선이 단독 보도한 'f-35a 등 전투기의 9·19 군사합의 이후 최북단 비행'에 대해 우리가 얼마든지 타격 능력이 있다는 것을 보여주고 경고의 의미도 있다고 설명했다.장 실장은 이번 한일중 정상회의와 공동선언문에 포함된 '한반도 비핵화'에 대해선 중국이 한반도 문제에 대한 입장은 변하지 않았다고 계속 강조한다며 한반도 평화와 안정, 대화와 협상을 통한 해결, 한반도 비핵화 등 3가지라고 했다.다만 중국이 얼마 전부터 오랫동안 공식석상에서 '한반도 비핵화'란 언급을 잘 하지 않는데, 이번에 어쨌든 저 표현을 쓰는 데 동의를 했다고 했다.윤 대통령이 중국 리창 총리에게 탈북민 문제 협조를 요청한 것에 대해선 해외에 있는 탈북민들이 어떠한 경우든 본인의 의사에 반해서 강제 북송되는 것은 안 된다는 게 일관된 입장이고, 그런 취지에서 대통령이 당부를 한 것이라며 앞으로 중국 측과 협의하고 국제사회와 합력해 게속 노력해나갈 것이라고 했다.또 중국 시진핑 주석의 방한에 대해선 리창 총리가 윤 대통령에게 시 주석의 안부를 전했다면서 다만 이번 회담은 리창 총리를 상대로 한 회담이라 굳이 시 주석의 방한 문제를 우리 측이 거론하진 않았다고 했다.",https://n.news.naver.com/mnews/article/448/0000460108?sid=100
노컷뉴스,CBS노컷뉴스 조혜령 기자 tooderigirl@cbs.co.kr,"한중일 3국 정상들 '비핵화 목표' 합의 못 해 ""각각 입장 재강조""","북한 정찰위성 발사 계획에도 한일 결의위반…중국은 언급 안 해윤석열 대통령, 기시다 후미오 일본 총리, 리창 중국 국무원 총리가 27일 청와대 영빈관에서 열린 제9차 한일중 정상회의에 앞서 기념 촬영을 하고 있다. 대통령실 제공한중일 정상회의 공동선언에서 한반도 비핵화 목표 문구가 담기지 않은 데 대해 우리 정부는 표현이 들어간 것 자체가 의미가 있다고 평가했다.한중일 3국은 27일 발표한 9차 정상회의 공동선언에서 우리는 역내 평화와 안정, 한반도 비핵화, 납치자 문제에 대한 입장을 각각 재강조하였다고 밝혔다.한미일과 북중러가 대립하는 구도 속에서 중국이 북한 비핵화 목표를 합의문서에 담는 걸 반대한 것 아니냐는 해석도 나온다.외교 당국자도 요즘 지정학적 상황을 감안할 때 북한 비핵화 문제에 대해 중국에게 과거의 합의를 이끌어내기는 어렵다고 인정했다.그러면서도 하지만 오랜 협상과 노력을 통해 우리 정부가 공동성명에 비핵화라는 단어를 포함시켰다며 이전 정상회의 선언에 비하면 약화된 건 사실이지만 표현이 들어간 것 자체로 의미가 있다고 평가했다.중국은 지난해 이후 비핵화라는 말을 쓰지 않을 정도로 북한 문제에 우리 정부와 이견을 보이고 있다. 지정학적으로 불리할 수 밖에 없는 상황에서 '비핵화'라는 단어를 공동선언에 포함시킨 것 만으로도 큰 의미가 있다는 게 정부의 판단이다.대통령실 제공이날 오전 서울 더 플라자호텔에서 기자들과 만난 코바야시 마키(小林麻紀) 일본 외무성 외무보도관도 비핵화 문구와 관련해 비핵화뿐만 아니라 북한 문제에 대해 3국이 논의했다며 3국 정상이 모두 역내 평화와 안정성 및 한반도 비핵화에 대한 입장을 거듭 강조했다는 문구가 공동성명에 들어갔다. (이전과) 크게 다르지 않다는 점 아닐까라고 말했다.앞서 2008년 12월 1차 정상 회의 때 '앞으로 6자회담 등을 통해 북한의 비핵화 실현을 위해 긴밀한 협의를 지속해 나가기로 합의했다'는 문구가 담긴 것을 시작으로 거의 매번 정상회의에 관련 문구가 담겼다.또 2018년 5월 7차 정상회의와 2019년 12월 8차 정상회의 합의문에는 각각 '우리는 한반도의 완전한 비핵화를 약속한다'와 '우리는 한반도의 완전한 비핵화를 위해 노력한다'라는 문장이 들어갔다.한중일 간 시각차는 북한의 정찰위성 발사 계획에서도 확인됐다.윤석열 대통령은 오늘 북한이 예고한 소위 위성 발사는 명백한 안보리 결의 위반이며 국제사회가 단호히 대응해 나가야 할 것이라고 강조했다.기시다 후미오 일본 총리도 만약 발사를 감행한다면 유엔 안보리 결의 위반이며 강력히 그 중지를 촉구한다고 밝혔다.그러나 리창 중국 총리는 북한의 정찰위성 발사에 대해 언급하지 않았다.그는 다만 한반도 정세와 관련해 중국은 시종일관 한반도 평화 안정을 추진하며 한반도 문제의 정치적인 해결을 추진하고 있다면서 관련 측은 자제를 유지하고 사태가 더 악화하고 복잡해지는 것을 예방해야 한다고 밝혔다.※c노컷뉴스는 여러분의 제보로 함께 세상을 바꿉니다. 각종 비리와 부당대우, 사건사고와 미담 등 모든 얘깃거리를 알려주세요.이메일 : 카카오톡 :@노컷뉴스사이트 :https:u.k1afn",https://n.news.naver.com/mnews/article/079/0003899218?sid=100
KBS,신지혜 (new@kbs.co.kr),"한미일 외교차관, 31일 미국에서 회동…북한 문제·경제 협력 논의","한미일 외교차관이 현지시각 31일 오후 미국에서 오는 31일 오후(현지시간) 미국에서 만나 북한 문제 등 현안을 논의합니다.한미일 외교차관 협의회는 북핵을 비롯해 지역·글로벌 사안에 대한 공조 방안을 논의하는 목적으로 개설됐으며, 이번이 13번째 회의입니다.김홍균 외교부 1차관, 커트 캠벨 미국 국무부 부장관, 오카노 마사타카 일본 외무성 사무차관은 워싱턴 dc 인근에 있는 캠벨 부장관의 개인 농장에서 만납니다.회의에서는 지역·글로벌 도전 과제와 전략 경쟁, 인태지역 협력 및 경제·기술·에너지 협력 등이 폭넓고 심도있게 논의될 것이라고 외교부는 밝혔습니다.김 차관은 오늘(27일) 종료된 한일중 정상회의 결과를 미국 측과 공유할 거로 보입니다. 제보하기 전화 : 02-781-1234, 4444 이메일 :  카카오톡 : 'k제보' 검색, 채널 추가 네이버, 유튜브에서 k뉴스를 구독해주세요!",https://n.news.naver.com/mnews/article/056/0011729316?sid=100
서울경제,정혜진 기자(sunset@sedaily.com),"美 ""北 위성발사는 안보리 결의 위반…자제하라""",美 국무부 탄도미사일 기술 쓰인 어떤 발사도 대북 결의 위반사진조선중앙통신연합뉴스[서울경제]미국이 북한이 인공위성을 실은 로켓을 발사하겠다고 예고한 데 대해 유엔 안전보장이사회의 대북 결의 위반에 해당한다며 자제할 것을 촉구했다.27일(현지 시간) 연합뉴스에 따르면 미국 국무부 대변인은 이날 “탄도미사일 기술을 사용하는 북한의 어떤 발사도 다수의 유엔안보리 결의를 위반하는 것”이라며 “여기에는 위성을 우주로 발사하는 데 사용되는 우주발사체(slv)도 포함된다”고 밝혔다. 그는 이어 “우주발사체는 대륙간탄도미사일(ic)을 비롯한 탄도미사일에 사용되는 것과 같거나 호환할 수 있는 기술을 포함한다”며 “미국은 북한이 추가적인 불법 활동을 자제하고 북한 정권이 진지하고 지속적인 외교에 나설 것을 촉구한다”고 강조했다.북한은 이날부터 다음 달 4일 사이 인공위성을 실은 로켓을 발사하겠다고 예고한 후 일본에 그에 따른 해상 위험 구역 3곳을 설정하겠다는 계획을 통보했다. 인공위성을 우주로 발사하는 데 사용되는 로켓은 사실상 ic과 기술적으로 동일하다. 안보리 결의에 따르면 북한의 탄도미사일 기술을 활용한 모든 발사는 그 용도과 무관하게 금지되고 있다.,https://n.news.naver.com/mnews/article/011/0004345814?sid=100
KBS,황현규 (true@kbs.co.kr),"국민의힘, 전당대회 선관위원장에 서병수 임명",[k 부산]국민의힘은 오늘 비상대책위원회를 열고 차기 당 대표 선출을 위한 전당대회 선거관리위원장에 부산에서 5선을 지낸 서병수 의원을 임명했습니다.서 의원은 지난 총선에서 당의 험지 출마 요청에 따라 지역구를 옮겨 북구갑에 출마했다가 낙선했습니다.선관위는 이번 주 10명 안팎의 위원 인선을 완료하고 전당대회 개최 시기 등을 본격적으로 논의할 계획입니다.,https://n.news.naver.com/mnews/article/056/0011729330?sid=100
세계일보,합동참모본부 제공,"공군, F-35A 훈련 돌입","북한이 ‘북 주장 군사정찰위성’ 발사를 예고해 27일 우리 공군이 비행금지선(nfl) 이남 중·동부 공역에서 대응훈련에 나선 가운데, f-35a·kf-16 편대가 공격편대군 비행훈련 및 타격훈련을 실시하고 있다.",https://n.news.naver.com/mnews/article/022/0003936595?sid=100
